Listening on 127.0.0.1:9999
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10914.890546 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10914.890546 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=103.395958 qd-score=11018.286504 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11018.286504 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=161.697581 qd-score=11179.984085 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=18.468860 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11198.452945 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=169.137856 qd-score=11367.590801 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11367.590801 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11367.590801 emitter=initial-population
14:25:34: 7830x RT, 130.5 creatures/sec. Fitness: best=1273.2, avg=947.3, new=(loaded=896.2). MAP-Elites(8x8, morphologies=3): occupied=12, pending=192, in flight=40, QD score=11367.591
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11367.590801 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11367.590801 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11367.590801 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11367.590801 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11367.590801 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11367.590801 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=13.089566 qd-score=11380.680366 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11380.680366 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11380.680366 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11380.680366 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11380.680366 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11380.680366 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11380.680366 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11380.680366 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11380.680366 emitter=initial-population
MAP-Elites insertion: outcome=new-global-best qd-delta=130.842303 qd-score=11511.522669 emitter=initial-population
--> new robust best creature found through loaded! Fitness=1404.0076208596786 domains=[1691.163818, 1272.522827, 1682.254761]
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11511.522669 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=461.125196 qd-score=11972.647866 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11972.647866 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11972.647866 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11972.647866 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=63.380885 qd-score=12036.028751 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=12036.028751 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=12036.028751 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=12036.028751 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=12036.028751 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=12036.028751 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=12036.028751 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=12036.028751 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=12036.028751 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=12036.028751 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=12036.028751 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=12036.028751 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=12036.028751 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=12036.028751 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=12036.028751 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=63.900293 qd-score=12099.929044 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=12099.929044 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=12099.929044 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=12099.929044 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=12099.929044 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=505.076374 qd-score=12605.005417 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=12605.005417 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=12605.005417 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=12605.005417 emitter=initial-population
MAP-Elites insertion: outcome=new-global-best qd-delta=510.161517 qd-score=13115.166935 emitter=initial-population
--> new robust best creature found through loaded! Fitness=1490.1960021517114 domains=[2034.214355, 2090.614746, 1239.862427]
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=13115.166935 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=13115.166935 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=13115.166935 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=13115.166935 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=13115.166935 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=13115.166935 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=13115.166935 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=13115.166935 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=13115.166935 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=13115.166935 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=375.115448 qd-score=13490.282382 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=13490.282382 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=13490.282382 emitter=initial-population
