Listening on 127.0.0.1:9999
16:22:04: 6666x RT, 111.1 creatures/sec. Fitness: best=1625.7, avg=1105.5, new=(qd-mutate=902.6). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:22:06: 6499x RT, 108.3 creatures/sec. Fitness: best=1625.7, avg=1116.3, new=(qd-mutate=889.9). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:22:08: 5811x RT, 96.8 creatures/sec. Fitness: best=1625.7, avg=1120.4, new=(qd-mutate=935.0). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:22:10: 6084x RT, 101.4 creatures/sec. Fitness: best=1625.7, avg=1120.4, new=(qd-mutate=911.5). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:22:12: 4735x RT, 78.9 creatures/sec. Fitness: best=1625.7, avg=1120.4, new=(qd-mutate=911.9). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
--> new robust best creature found through qd-mutate! Fitness=1858.390921565829 domains=[1705.203247, 2155.967041, 2214.077148]
16:22:14: 2479x RT, 41.3 creatures/sec. Fitness: best=1858.4, avg=1137.1, new=(qd-mutate=1016.0). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:22:17: 3291x RT, 54.9 creatures/sec. Fitness: best=1858.4, avg=1139.8, new=(qd-mutate=910.8). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:22:19: 4121x RT, 68.7 creatures/sec. Fitness: best=1858.4, avg=1144.4, new=(qd-mutate=904.5). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:22:21: 3529x RT, 58.8 creatures/sec. Fitness: best=1858.4, avg=1152.9, new=(qd-mutate=884.0). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:22:23: 4033x RT, 67.2 creatures/sec. Fitness: best=1858.4, avg=1152.9, new=(qd-mutate=940.0). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:22:25: 3625x RT, 60.4 creatures/sec. Fitness: best=1858.4, avg=1152.9, new=(qd-mutate=925.1). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:22:27: 3242x RT, 54.0 creatures/sec. Fitness: best=1858.4, avg=1152.9, new=(qd-mutate=888.6). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:22:29: 3431x RT, 57.2 creatures/sec. Fitness: best=1858.4, avg=1152.9, new=(qd-mutate=982.6). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:22:31: 3232x RT, 53.9 creatures/sec. Fitness: best=1858.4, avg=1159.9, new=(qd-mutate=955.5). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:22:33: 3744x RT, 62.4 creatures/sec. Fitness: best=1858.4, avg=1159.9, new=(qd-mutate=865.6). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:22:35: 3563x RT, 59.4 creatures/sec. Fitness: best=1858.4, avg=1159.9, new=(qd-mutate=969.7). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:22:37: 2209x RT, 36.8 creatures/sec. Fitness: best=1858.4, avg=1162.8, new=(qd-mutate=967.4). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:22:39: 1824x RT, 30.4 creatures/sec. Fitness: best=1858.4, avg=1174.2, new=(qd-mutate=933.9). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:22:41: 2681x RT, 44.7 creatures/sec. Fitness: best=1858.4, avg=1174.2, new=(qd-mutate=964.9). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
