Listening on 127.0.0.1:9999
MAP-Elites insertion: outcome=new-global-best qd-delta=1125.844023 qd-score=1125.844023 emitter=initial-population
--> new robust best creature found through loaded! Fitness=1125.84402345664 domains=[1511.196167, 1490.372437, 1662.695557, 993.49353, 961.369934]
MAP-Elites insertion: outcome=new-global-best qd-delta=1923.610853 qd-score=3049.454876 emitter=initial-population
--> new robust best creature found through loaded! Fitness=1923.6108528415102 domains=[2919.878418, 2422.007568, 2883.157471, 1901.499634, 1572.130981]
MAP-Elites insertion: outcome=new-cell qd-delta=1348.101325 qd-score=4397.556202 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=977.900617 qd-score=5375.456818 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=658.563668 qd-score=6034.020486 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=1204.591268 qd-score=7238.611755 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=1457.608862 qd-score=8696.220617 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=1543.296870 qd-score=10239.517487 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=788.850540 qd-score=11028.368027 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=1533.735022 qd-score=12562.103049 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=537.746909 qd-score=13099.849958 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=783.868700 qd-score=13883.718658 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=983.510093 qd-score=14867.228751 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=1174.098403 qd-score=16041.327154 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=1242.814741 qd-score=17284.141895 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=799.026577 qd-score=18083.168472 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=1753.138902 qd-score=19836.307374 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=1095.399184 qd-score=20931.706558 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=1494.435223 qd-score=22426.141781 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=1215.847702 qd-score=23641.989483 emitter=initial-population
