Listening on 127.0.0.1:9999
MAP-Elites insertion: outcome=new-global-best qd-delta=399.925308 qd-score=399.925308 emitter=initial-population
--> new robust best creature found through loaded! Fitness=399.9253084345228 domains=[753.958801, 263.084106, 779.67572]
MAP-Elites insertion: outcome=new-global-best qd-delta=960.443531 qd-score=1360.368839 emitter=initial-population
--> new robust best creature found through loaded! Fitness=960.4435306661198 domains=[1222.595093, 866.704407, 1105.5896]
MAP-Elites insertion: outcome=new-cell qd-delta=584.301046 qd-score=1944.669885 emitter=initial-population
MAP-Elites insertion: outcome=new-global-best qd-delta=1317.642238 qd-score=3262.312123 emitter=initial-population
--> new robust best creature found through loaded! Fitness=1317.642238057913 domains=[2311.067383, 1095.195312, 1443.2229]
MAP-Elites insertion: outcome=new-cell qd-delta=932.894594 qd-score=4195.206717 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=538.420514 qd-score=4733.627231 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=270.691808 qd-score=5004.319038 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=5004.319038 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=21.414804 qd-score=5025.733842 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=964.136857 qd-score=5989.870700 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=611.054090 qd-score=6600.924790 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=36.099042 qd-score=6637.023832 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=6637.023832 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=911.095924 qd-score=7548.119756 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=58.052991 qd-score=7606.172747 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=572.616759 qd-score=8178.789506 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=143.385704 qd-score=8322.175210 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=8322.175210 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=8322.175210 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=42.268098 qd-score=8364.443308 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=8364.443308 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=859.553989 qd-score=9223.997297 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=8.353650 qd-score=9232.350947 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=9232.350947 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=9232.350947 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=9232.350947 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=9232.350947 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=9232.350947 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=9232.350947 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=9232.350947 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=9232.350947 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=9232.350947 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=9232.350947 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=9232.350947 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=9232.350947 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=9232.350947 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=9232.350947 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=550.583847 qd-score=9782.934794 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=9782.934794 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=9782.934794 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=9782.934794 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=0.303690 qd-score=9783.238484 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=817.343780 qd-score=10600.582264 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10600.582264 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=182.503689 qd-score=10783.085953 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10783.085953 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10783.085953 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10783.085953 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10783.085953 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10783.085953 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10783.085953 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10783.085953 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=10783.085953 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=504.338071 qd-score=11287.424024 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11287.424024 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=11287.424024 emitter=initial-population
