Using 8 worker threads.
Speed: 5.100000 creatures/sec. Server status: 19:53:49: 2141x RT, 35.7 creatures/sec. Fitness: best=1059.4, avg=729.6, new=(qd-mutate=641.1). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 5.199991 creatures/sec. Server status: 19:53:49: 2141x RT, 35.7 creatures/sec. Fitness: best=1059.4, avg=729.6, new=(qd-mutate=641.1). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 5.399999 creatures/sec. Server status: 19:53:49: 2141x RT, 35.7 creatures/sec. Fitness: best=1059.4, avg=729.6, new=(qd-mutate=641.1). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 5.099985 creatures/sec. Server status: 19:53:49: 2141x RT, 35.7 creatures/sec. Fitness: best=1059.4, avg=729.6, new=(qd-mutate=641.1). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 5.199419 creatures/sec. Server status: 19:53:49: 2141x RT, 35.7 creatures/sec. Fitness: best=1059.4, avg=729.6, new=(qd-mutate=641.1). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 5.298974 creatures/sec. Server status: 19:53:49: 2141x RT, 35.7 creatures/sec. Fitness: best=1059.4, avg=729.6, new=(qd-mutate=641.1). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 4.900000 creatures/sec. Server status: 19:53:59: 2242x RT, 37.4 creatures/sec. Fitness: best=1059.4, avg=741.7, new=(qd-mutate=627.7). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 5.099959 creatures/sec. Server status: 19:53:59: 2242x RT, 37.4 creatures/sec. Fitness: best=1059.4, avg=741.7, new=(qd-mutate=627.7). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 5.099968 creatures/sec. Server status: 19:53:59: 2242x RT, 37.4 creatures/sec. Fitness: best=1059.4, avg=741.7, new=(qd-mutate=627.7). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 5.099997 creatures/sec. Server status: 19:53:59: 2242x RT, 37.4 creatures/sec. Fitness: best=1059.4, avg=741.7, new=(qd-mutate=627.7). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 4.999997 creatures/sec. Server status: 19:53:59: 2242x RT, 37.4 creatures/sec. Fitness: best=1059.4, avg=741.7, new=(qd-mutate=627.7). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 5.199999 creatures/sec. Server status: 19:53:59: 2242x RT, 37.4 creatures/sec. Fitness: best=1059.4, avg=741.7, new=(qd-mutate=627.7). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 5.199312 creatures/sec. Server status: 19:53:59: 2242x RT, 37.4 creatures/sec. Fitness: best=1059.4, avg=741.7, new=(qd-mutate=627.7). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 5.099992 creatures/sec. Server status: 19:53:59: 2242x RT, 37.4 creatures/sec. Fitness: best=1059.4, avg=741.7, new=(qd-mutate=627.7). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 4.199997 creatures/sec. Server status: 19:54:09: 2056x RT, 34.3 creatures/sec. Fitness: best=1059.4, avg=743.0, new=(qd-mutate=611.5). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
Speed: 4.199996 creatures/sec. Server status: 19:54:09: 2056x RT, 34.3 creatures/sec. Fitness: best=1059.4, avg=743.0, new=(qd-mutate=611.5). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
