Listening on 127.0.0.1:9999
--> new robust best creature found through curl-right! Fitness=480.29041314834376 domains=[392.236267, 607.434021, 770.52771]
19:54:07: 1782x RT, 29.7 creatures/sec. Fitness: best=1059.4, avg=743.0, new=(qd-mutate=672.7). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
19:54:09: 2056x RT, 34.3 creatures/sec. Fitness: best=1059.4, avg=743.0, new=(qd-mutate=611.5). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
2498822 bytes written to /Users/dag/projects/Machine-Evolved-credible-training/training-runs/me-v2-harmonic-qd-01-double-gravity-8w/config.json. 
19:54:11: 1382x RT, 23.0 creatures/sec. Fitness: best=1059.4, avg=743.0, new=(qd-mutate=595.7). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
19:54:13: 1193x RT, 19.9 creatures/sec. Fitness: best=1059.4, avg=743.0, new=(qd-mutate=685.8). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
19:54:15: 1775x RT, 29.6 creatures/sec. Fitness: best=1059.4, avg=745.3, new=(qd-mutate=675.3). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
19:54:18: 1575x RT, 26.2 creatures/sec. Fitness: best=1059.4, avg=745.3, new=(qd-mutate=602.2). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
--> new robust best creature found through qd-mutate! Fitness=1123.4809241797757 domains=[1134.273438, 1369.819946, 1064.390381]
19:54:20: 1919x RT, 32.0 creatures/sec. Fitness: best=1123.5, avg=748.2, new=(qd-mutate=666.4). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
19:54:22: 1935x RT, 32.2 creatures/sec. Fitness: best=1123.5, avg=750.0, new=(qd-mutate=634.4). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
19:54:24: 1725x RT, 28.8 creatures/sec. Fitness: best=1123.5, avg=762.0, new=(qd-mutate=636.2). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
19:54:26: 1353x RT, 22.6 creatures/sec. Fitness: best=1123.5, avg=762.0, new=(qd-mutate=588.5). MAP-Elites(8x8, morphologies=3): occupied=22, pending=192, in flight=24
19:54:28: 2400x RT, 40.0 creatures/sec. Fitness: best=1123.5, avg=750.1, new=(qd-mutate=622.9). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
19:54:30: 2729x RT, 45.5 creatures/sec. Fitness: best=1123.5, avg=750.1, new=(qd-mutate=628.0). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
19:54:32: 3477x RT, 57.9 creatures/sec. Fitness: best=1123.5, avg=751.3, new=(qd-mutate=641.1). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
19:54:34: 2769x RT, 46.2 creatures/sec. Fitness: best=1123.5, avg=751.3, new=(qd-mutate=587.2). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
19:54:36: 3645x RT, 60.8 creatures/sec. Fitness: best=1123.5, avg=753.1, new=(qd-mutate=644.5). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
19:54:38: 3739x RT, 62.3 creatures/sec. Fitness: best=1123.5, avg=756.1, new=(qd-mutate=644.5). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
19:54:40: 4167x RT, 69.4 creatures/sec. Fitness: best=1123.5, avg=756.1, new=(qd-mutate=655.9). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
19:54:42: 2114x RT, 35.2 creatures/sec. Fitness: best=1123.5, avg=760.7, new=(qd-mutate=613.6). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
19:54:44: 1611x RT, 26.8 creatures/sec. Fitness: best=1123.5, avg=762.6, new=(qd-mutate=592.4). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
19:54:47: 3914x RT, 65.2 creatures/sec. Fitness: best=1123.5, avg=778.3, new=(qd-mutate=635.9). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
19:54:49: 3561x RT, 59.4 creatures/sec. Fitness: best=1123.5, avg=766.5, new=(qd-mutate=644.3). MAP-Elites(8x8, morphologies=3): occupied=24, pending=192, in flight=24
19:54:51: 4015x RT, 66.9 creatures/sec. Fitness: best=1123.5, avg=766.5, new=(qd-mutate=613.8). MAP-Elites(8x8, morphologies=3): occupied=24, pending=192, in flight=24
19:54:53: 2836x RT, 47.3 creatures/sec. Fitness: best=1123.5, avg=766.5, new=(qd-mutate=662.2). MAP-Elites(8x8, morphologies=3): occupied=24, pending=192, in flight=24
19:54:55: 929x RT, 15.5 creatures/sec. Fitness: best=1123.5, avg=766.5, new=(qd-mutate=627.2). MAP-Elites(8x8, morphologies=3): occupied=24, pending=192, in flight=24
19:54:57: 4582x RT, 76.4 creatures/sec. Fitness: best=1123.5, avg=766.5, new=(qd-mutate=622.3). MAP-Elites(8x8, morphologies=3): occupied=24, pending=192, in flight=24
19:54:59: 4664x RT, 77.7 creatures/sec. Fitness: best=1123.5, avg=768.5, new=(qd-mutate=609.5). MAP-Elites(8x8, morphologies=3): occupied=24, pending=192, in flight=24
19:55:01: 3540x RT, 59.0 creatures/sec. Fitness: best=1123.5, avg=758.8, new=(qd-mutate=633.8). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:03: 3192x RT, 53.2 creatures/sec. Fitness: best=1123.5, avg=761.0, new=(qd-mutate=652.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:05: 1448x RT, 24.1 creatures/sec. Fitness: best=1123.5, avg=762.5, new=(qd-mutate=672.0). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:07: 2147x RT, 35.8 creatures/sec. Fitness: best=1123.5, avg=764.1, new=(qd-mutate=653.5). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:09: 2861x RT, 47.7 creatures/sec. Fitness: best=1123.5, avg=769.3, new=(qd-mutate=614.8). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
2848395 bytes written to /Users/dag/projects/Machine-Evolved-credible-training/training-runs/me-v2-harmonic-qd-01-double-gravity-8w/config.json. 
19:55:11: 3112x RT, 51.9 creatures/sec. Fitness: best=1123.5, avg=774.4, new=(qd-mutate=600.6). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:13: 2437x RT, 40.6 creatures/sec. Fitness: best=1123.5, avg=774.4, new=(qd-mutate=657.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
--> new robust best creature found through qd-mutate! Fitness=1284.168160360325 domains=[1277.307861, 1312.506714, 1283.542725]
19:55:15: 2411x RT, 40.2 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=682.2). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:17: 2285x RT, 38.1 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=613.5). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:19: 2231x RT, 37.2 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=650.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:21: 1988x RT, 33.1 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=651.3). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:24: 1977x RT, 32.9 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=617.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:26: 1926x RT, 32.1 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=658.7). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:28: 1972x RT, 32.9 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=586.5). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:30: 1173x RT, 19.5 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=609.6). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:32: 901x RT, 15.0 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=618.0). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:34: 919x RT, 15.3 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=658.3). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:36: 1004x RT, 16.7 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=630.3). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:38: 620x RT, 10.3 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=517.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:40: 504x RT, 8.4 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=625.5). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:42: 1043x RT, 17.4 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=571.8). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:44: 630x RT, 10.5 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=685.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:46: 1038x RT, 17.3 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=549.5). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:48: 1177x RT, 19.6 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=578.6). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:51: 1116x RT, 18.6 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=711.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:53: 1065x RT, 17.8 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=680.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:55: 1133x RT, 18.9 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=617.5). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:57: 196x RT, 3.3 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=978.3). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:55:59: 203x RT, 3.4 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=640.0). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:01: 193x RT, 3.2 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=625.8). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:03: 108x RT, 1.8 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=752.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:05: 143x RT, 2.4 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=509.1). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:07: 168x RT, 2.8 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=627.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:10: 200x RT, 3.3 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=779.3). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
3001314 bytes written to /Users/dag/projects/Machine-Evolved-credible-training/training-runs/me-v2-harmonic-qd-01-double-gravity-8w/config.json. 
19:56:12: 293x RT, 4.9 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=596.0). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:14: 818x RT, 13.6 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=570.2). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:16: 1051x RT, 17.5 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=626.8). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:18: 1068x RT, 17.8 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=638.5). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:20: 1114x RT, 18.6 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=639.3). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:22: 1053x RT, 17.5 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=618.2). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:24: 951x RT, 15.8 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=627.3). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:26: 1125x RT, 18.7 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=684.7). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:28: 1054x RT, 17.6 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=558.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:30: 1118x RT, 18.6 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=645.2). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:33: 1449x RT, 24.2 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=585.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:35: 1514x RT, 25.2 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=573.0). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:37: 984x RT, 16.4 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=624.2). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:39: 474x RT, 7.9 creatures/sec. Fitness: best=1284.2, avg=792.4, new=(qd-mutate=682.5). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:41: 1124x RT, 18.7 creatures/sec. Fitness: best=1284.2, avg=792.4, new=(qd-mutate=632.7). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:43: 2062x RT, 34.4 creatures/sec. Fitness: best=1284.2, avg=792.4, new=(qd-mutate=606.5). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:45: 1995x RT, 33.3 creatures/sec. Fitness: best=1284.2, avg=792.4, new=(qd-mutate=640.5). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:47: 1067x RT, 17.8 creatures/sec. Fitness: best=1284.2, avg=792.4, new=(qd-mutate=674.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:49: 1347x RT, 22.5 creatures/sec. Fitness: best=1284.2, avg=792.4, new=(qd-mutate=532.6). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:51: 1152x RT, 19.2 creatures/sec. Fitness: best=1284.2, avg=792.4, new=(qd-mutate=611.2). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:53: 955x RT, 15.9 creatures/sec. Fitness: best=1284.2, avg=792.4, new=(qd-mutate=650.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:55: 1475x RT, 24.6 creatures/sec. Fitness: best=1284.2, avg=792.4, new=(qd-mutate=647.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:57: 1908x RT, 31.8 creatures/sec. Fitness: best=1284.2, avg=792.4, new=(qd-mutate=610.0). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:56:59: 410x RT, 6.8 creatures/sec. Fitness: best=1284.2, avg=792.4, new=(qd-mutate=653.8). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:57:01: 450x RT, 7.5 creatures/sec. Fitness: best=1284.2, avg=797.9, new=(qd-mutate=636.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
19:57:03: 1015x RT, 16.9 creatures/sec. Fitness: best=1284.2, avg=797.9, new=(qd-mutate=617.2). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
