Listening on 127.0.0.1:9999
--> new robust best creature found through template-m1-balanced! Fitness=435.646299949929 domains=[546.106262, 542.748718, 385.881287]
21:33:55: 4472x RT, 74.5 creatures/sec. Fitness: best=1207.8, avg=753.7, new=(qd-mutate=658.0). MAP-Elites(8x8, morphologies=3): occupied=23, pending=384, in flight=40
21:33:57: 4636x RT, 77.3 creatures/sec. Fitness: best=1207.8, avg=757.8, new=(qd-mutate=615.5). MAP-Elites(8x8, morphologies=3): occupied=23, pending=384, in flight=40
21:33:59: 4627x RT, 77.1 creatures/sec. Fitness: best=1207.8, avg=758.6, new=(qd-mutate=619.3). MAP-Elites(8x8, morphologies=3): occupied=23, pending=384, in flight=40
21:34:01: 4706x RT, 78.4 creatures/sec. Fitness: best=1207.8, avg=759.8, new=(qd-mutate=654.0). MAP-Elites(8x8, morphologies=3): occupied=23, pending=384, in flight=40
21:34:03: 4761x RT, 79.3 creatures/sec. Fitness: best=1207.8, avg=759.8, new=(qd-mutate=630.7). MAP-Elites(8x8, morphologies=3): occupied=23, pending=384, in flight=40
21:34:06: 4839x RT, 80.6 creatures/sec. Fitness: best=1207.8, avg=766.2, new=(qd-mutate=617.1). MAP-Elites(8x8, morphologies=3): occupied=23, pending=384, in flight=40
21:34:08: 4969x RT, 82.8 creatures/sec. Fitness: best=1207.8, avg=773.2, new=(qd-mutate=630.3). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:34:10: 4924x RT, 82.1 creatures/sec. Fitness: best=1207.8, avg=773.2, new=(qd-mutate=619.1). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:34:12: 5126x RT, 85.4 creatures/sec. Fitness: best=1207.8, avg=774.4, new=(qd-mutate=615.2). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:34:14: 5279x RT, 88.0 creatures/sec. Fitness: best=1207.8, avg=777.1, new=(qd-mutate=650.0). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
21:34:16: 5215x RT, 86.9 creatures/sec. Fitness: best=1207.8, avg=780.1, new=(qd-mutate=616.1). MAP-Elites(8x8, morphologies=3): occupied=24, pending=384, in flight=40
